,Main Screen Button,Play Button,,,
192.168.2.128,Cisco1 VPN,8645674106,450 1130,210 300,Moto G
192.168.2.129,Cisco1 VPN,8645674106,450 1130,210 300,Moto G
192.168.2.130,Cisco1 VPN,8645674106,450 1130,210 300,Moto G
192.168.2.131,Cisco1 VPN,8645674106,450 1130,210 300,Moto G
192.168.2.132,Cisco1 VPN,8645674106,450 1130,210 300,Moto G
192.168.2.133,Cisco1 VPN,8645674106,450 1130,210 300,Moto G
192.168.2.134,Cisco1 VPN,8645674106,450 1130,210 300,Moto G
192.168.2.135,Cisco1 VPN,8645674106,450 1130,210 300,Moto G
192.168.2.136,Cisco1 VPN,8645674106,450 1130,210 300,Moto G
192.168.2.137,Cisco1 VPN,8645674106,450 1130,210 300,Moto G
192.168.2.96,Charter,8645674106,450 1130,210 300,Moto G
192.168.2.97,Charter,8645674106,450 1130,210 300,Moto G
192.168.2.98,Charter,8645674106,450 1130,210 300,Moto G
192.168.2.99,Charter,8645674106,450 1130,210 300,Moto G
192.168.2.90,Charter,8645674106,450 1130,210 300,Moto G
192.168.2.91,Charter,8645674106,450 1130,210 300,Moto G
192.168.2.92,Charter,8645674106,450 1130,210 300,Moto G
192.168.2.93,Charter,8645674106,450 1130,210 300,Moto G
192.168.2.94,Charter,8645674106,450 1130,210 300,Moto G
192.168.2.95,Charter,8645674106,450 1130,210 300,Moto G
192.168.2.138,170 VPN,8645674106,200 460,100 150,LG Sunrise
192.168.2.139,170 VPN,8645674106,200 460,100 150,LG Sunrise
192.168.2.141,170 VPN,8645674106,200 460,100 150,LG Sunrise
192.168.2.142,170 VPN,8645674106,200 460,100 150,LG Sunrise
192.168.2.143,170 VPN,8645674106,300 750,160 220,HTC Desire
192.168.2.144,170 VPN,8645674106,350 850,150 220,Moto E
192.168.2.145,170 VPN,8645674106,350 850,150 220,Moto E
192.168.2.146,170 VPN,8645674106,350 850,150 220,Moto E
192.168.2.148,170 VPN,8645674106,300 750,160 220,HTC Desire
192.168.2.149,170 VPN,8645674106,330 930,150 210,Kyocera Hydro L
192.168.2.31,Charter,8645674106,310 775,150 210,Onetouch Unknown
192.168.2.30,Charter,8645674106,450 1130,210 300,Moto G
192.168.2.32,Charter,8645674106,310 820,150 210,Alcatel Ideal
192.168.2.33,Charter,8645674106,310 820,150 210,Alcatel Ideal
192.168.2.34,Charter,8645674106,310 820,150 210,Alcatel Ideal
192.168.2.35,Charter,8645674106,310 820,150 210,Alcatel Ideal
192.168.2.36,Charter,8645674106,310 820,150 210,Alcatel Ideal
192.168.2.37,Charter,8645674106,330 930,150 210,Kyocera Hydro L
192.168.2.38,Charter,8645674106,310 775,150 210,Onetouch Unknown
192.168.2.39,Charter,8645674106,330 930,150 210,Kyocera Hydro L
192.168.2.51,Charter,8645674106,330 930,150 210,Kyocera Hydro L
192.168.2.52,Charter,8645674107,330 930,150 210,Kyocera Hydro L
192.168.2.53,Charter,8645674106,300 810,110 220,Large Onetouch
192.168.2.54,Charter,8645674106,300 770,130 215,Samsung LTE
192.168.2.55,Charter,8645674106,200 450,75 150,Zte Zinger
192.168.2.56,Charter,8645674106,300 760,115 220,HTC Red Phone
192.168.2.57,Charter,8645674106,330 930,150 210,Kyocera Hydro L
192.168.2.58,Charter,8645674106,320 750,110 220,Lg Power
192.168.2.59,Charter,8645674106,200 450,75 150,Zte Zinger
192.168.2.60,Charter,8645674106,200 450,75 150,Zte Zinger
